mapping_id,degree_family,programme_name,stream_group,eligibility_status
MAP0001,Engineering & Technology,B.Tech Computer Science,PCM,GREEN
MAP0002,Engineering & Technology,B.Tech Computer Science,PCB,RED_YELLOW
MAP0003,Engineering & Technology,B.Tech Computer Science,PCMB,GREEN
MAP0004,Engineering & Technology,B.Tech Computer Science,Commerce,RED_YELLOW
MAP0005,Engineering & Technology,B.Tech Computer Science,Humanities,RED
MAP0006,Engineering & Technology,B.Tech Computer Science,Vocational,YELLOW
MAP0007,Engineering & Technology,B.Tech AI/ML,PCM,GREEN
MAP0008,Engineering & Technology,B.Tech AI/ML,PCB,RED_YELLOW
MAP0009,Engineering & Technology,B.Tech AI/ML,PCMB,GREEN
MAP0010,Engineering & Technology,B.Tech AI/ML,Commerce,RED_YELLOW
MAP0011,Engineering & Technology,B.Tech AI/ML,Humanities,RED
MAP0012,Engineering & Technology,B.Tech AI/ML,Vocational,YELLOW
MAP0013,Engineering & Technology,B.Tech Data Science,PCM,GREEN
MAP0014,Engineering & Technology,B.Tech Data Science,PCB,RED_YELLOW
MAP0015,Engineering & Technology,B.Tech Data Science,PCMB,GREEN
MAP0016,Engineering & Technology,B.Tech Data Science,Commerce,RED_YELLOW
MAP0017,Engineering & Technology,B.Tech Data Science,Humanities,RED
MAP0018,Engineering & Technology,B.Tech Data Science,Vocational,YELLOW
MAP0019,Engineering & Technology,B.Tech ECE,PCM,GREEN
MAP0020,Engineering & Technology,B.Tech ECE,PCB,RED
MAP0021,Engineering & Technology,B.Tech ECE,PCMB,GREEN
MAP0022,Engineering & Technology,B.Tech ECE,Commerce,RED
MAP0023,Engineering & Technology,B.Tech ECE,Humanities,RED
MAP0024,Engineering & Technology,B.Tech ECE,Vocational,YELLOW
MAP0025,Engineering & Technology,B.Tech EEE,PCM,GREEN
MAP0026,Engineering & Technology,B.Tech EEE,PCB,RED
MAP0027,Engineering & Technology,B.Tech EEE,PCMB,GREEN
MAP0028,Engineering & Technology,B.Tech EEE,Commerce,RED
MAP0029,Engineering & Technology,B.Tech EEE,Humanities,RED
MAP0030,Engineering & Technology,B.Tech EEE,Vocational,YELLOW
MAP0031,Engineering & Technology,B.Tech Mechanical,PCM,GREEN
MAP0032,Engineering & Technology,B.Tech Mechanical,PCB,RED
MAP0033,Engineering & Technology,B.Tech Mechanical,PCMB,GREEN
MAP0034,Engineering & Technology,B.Tech Mechanical,Commerce,RED
MAP0035,Engineering & Technology,B.Tech Mechanical,Humanities,RED
MAP0036,Engineering & Technology,B.Tech Mechanical,Vocational,YELLOW
MAP0037,Engineering & Technology,B.Tech Civil,PCM,GREEN
MAP0038,Engineering & Technology,B.Tech Civil,PCB,RED
MAP0039,Engineering & Technology,B.Tech Civil,PCMB,GREEN
MAP0040,Engineering & Technology,B.Tech Civil,Commerce,RED
MAP0041,Engineering & Technology,B.Tech Civil,Humanities,RED
MAP0042,Engineering & Technology,B.Tech Civil,Vocational,YELLOW
MAP0043,Engineering & Technology,B.Tech Chemical,PCM,GREEN
MAP0044,Engineering & Technology,B.Tech Chemical,PCB,YELLOW
MAP0045,Engineering & Technology,B.Tech Chemical,PCMB,GREEN
MAP0046,Engineering & Technology,B.Tech Chemical,Commerce,RED
MAP0047,Engineering & Technology,B.Tech Chemical,Humanities,RED
MAP0048,Engineering & Technology,B.Tech Chemical,Vocational,YELLOW
MAP0049,Engineering & Technology,B.Tech Aerospace,PCM,GREEN
MAP0050,Engineering & Technology,B.Tech Aerospace,PCB,RED
MAP0051,Engineering & Technology,B.Tech Aerospace,PCMB,GREEN
MAP0052,Engineering & Technology,B.Tech Aerospace,Commerce,RED
MAP0053,Engineering & Technology,B.Tech Aerospace,Humanities,RED
MAP0054,Engineering & Technology,B.Tech Aerospace,Vocational,YELLOW
MAP0055,Engineering & Technology,B.Tech Biotechnology,PCM,GREEN_YELLOW
MAP0056,Engineering & Technology,B.Tech Biotechnology,PCB,GREEN
MAP0057,Engineering & Technology,B.Tech Biotechnology,PCMB,GREEN
MAP0058,Engineering & Technology,B.Tech Biotechnology,Commerce,RED
MAP0059,Engineering & Technology,B.Tech Biotechnology,Humanities,RED
MAP0060,Engineering & Technology,B.Tech Biotechnology,Vocational,YELLOW
MAP0061,Engineering & Technology,B.Tech Food Technology,PCM,GREEN
MAP0062,Engineering & Technology,B.Tech Food Technology,PCB,GREEN
MAP0063,Engineering & Technology,B.Tech Food Technology,PCMB,GREEN
MAP0064,Engineering & Technology,B.Tech Food Technology,Commerce,RED
MAP0065,Engineering & Technology,B.Tech Food Technology,Humanities,RED
MAP0066,Engineering & Technology,B.Tech Food Technology,Vocational,YELLOW
MAP0067,Engineering & Technology,B.Tech Agricultural Engineering,PCM,GREEN
MAP0068,Engineering & Technology,B.Tech Agricultural Engineering,PCB,YELLOW
MAP0069,Engineering & Technology,B.Tech Agricultural Engineering,PCMB,GREEN
MAP0070,Engineering & Technology,B.Tech Agricultural Engineering,Commerce,RED
MAP0071,Engineering & Technology,B.Tech Agricultural Engineering,Humanities,RED
MAP0072,Engineering & Technology,B.Tech Agricultural Engineering,Vocational,YELLOW
MAP0073,Engineering & Technology,B.Tech Dairy Technology,PCM,GREEN
MAP0074,Engineering & Technology,B.Tech Dairy Technology,PCB,GREEN
MAP0075,Engineering & Technology,B.Tech Dairy Technology,PCMB,GREEN
MAP0076,Engineering & Technology,B.Tech Dairy Technology,Commerce,RED
MAP0077,Engineering & Technology,B.Tech Dairy Technology,Humanities,RED
MAP0078,Engineering & Technology,B.Tech Dairy Technology,Vocational,YELLOW
MAP0079,Engineering & Technology,B.Tech Environmental Engineering,PCM,GREEN
MAP0080,Engineering & Technology,B.Tech Environmental Engineering,PCB,YELLOW
MAP0081,Engineering & Technology,B.Tech Environmental Engineering,PCMB,GREEN
MAP0082,Engineering & Technology,B.Tech Environmental Engineering,Commerce,RED
MAP0083,Engineering & Technology,B.Tech Environmental Engineering,Humanities,RED
MAP0084,Engineering & Technology,B.Tech Environmental Engineering,Vocational,YELLOW
MAP0085,Architecture & Planning,B.Arch,PCM,GREEN
MAP0086,Architecture & Planning,B.Arch,PCB,RED_YELLOW
MAP0087,Architecture & Planning,B.Arch,PCMB,GREEN
MAP0088,Architecture & Planning,B.Arch,Commerce,RED
MAP0089,Architecture & Planning,B.Arch,Humanities,RED
MAP0090,Architecture & Planning,B.Planning,PCM,GREEN
MAP0091,Architecture & Planning,B.Planning,PCB,RED_YELLOW
MAP0092,Architecture & Planning,B.Planning,PCMB,GREEN
MAP0093,Architecture & Planning,B.Planning,Commerce,RED_YELLOW
MAP0094,Architecture & Planning,B.Planning,Humanities,RED_YELLOW
MAP0095,Architecture & Planning,B.Des,PCM,GREEN
MAP0096,Architecture & Planning,B.Des,PCB,GREEN
MAP0097,Architecture & Planning,B.Des,PCMB,GREEN
MAP0098,Architecture & Planning,B.Des,Commerce,GREEN
MAP0099,Architecture & Planning,B.Des,Humanities,GREEN
MAP0100,Architecture & Planning,BFA,PCM,GREEN
MAP0101,Architecture & Planning,BFA,PCB,GREEN
MAP0102,Architecture & Planning,BFA,PCMB,GREEN
MAP0103,Architecture & Planning,BFA,Commerce,GREEN
MAP0104,Architecture & Planning,BFA,Humanities,GREEN
MAP0105,Architecture & Planning,B.Plan-related programmes,PCM,GREEN
MAP0106,Architecture & Planning,B.Plan-related programmes,PCB,YELLOW
MAP0107,Architecture & Planning,B.Plan-related programmes,PCMB,GREEN
MAP0108,Architecture & Planning,B.Plan-related programmes,Commerce,YELLOW
MAP0109,Architecture & Planning,B.Plan-related programmes,Humanities,YELLOW
MAP0110,Computer & IT Pathways,B.Tech CSE,PCM,GREEN
MAP0111,Computer & IT Pathways,B.Tech CSE,PCB,RED_YELLOW
MAP0112,Computer & IT Pathways,B.Tech CSE,Commerce_Math,RED_YELLOW
MAP0113,Computer & IT Pathways,B.Tech CSE,Commerce_No_Math,RED
MAP0114,Computer & IT Pathways,B.Tech CSE,Humanities_Math,RED_YELLOW
MAP0115,Computer & IT Pathways,B.Tech CSE,Humanities_No_Math,RED
MAP0116,Computer & IT Pathways,B.Sc CS,PCM,GREEN
MAP0117,Computer & IT Pathways,B.Sc CS,PCB,YELLOW
MAP0118,Computer & IT Pathways,B.Sc CS,Commerce_Math,GREEN
MAP0119,Computer & IT Pathways,B.Sc CS,Commerce_No_Math,YELLOW
MAP0120,Computer & IT Pathways,B.Sc CS,Humanities_Math,GREEN
MAP0121,Computer & IT Pathways,B.Sc CS,Humanities_No_Math,YELLOW
MAP0122,Computer & IT Pathways,BCA,PCM,GREEN
MAP0123,Computer & IT Pathways,BCA,PCB,GREEN
MAP0124,Computer & IT Pathways,BCA,Commerce_Math,GREEN
MAP0125,Computer & IT Pathways,BCA,Commerce_No_Math,GREEN
MAP0126,Computer & IT Pathways,BCA,Humanities_Math,GREEN
MAP0127,Computer & IT Pathways,BCA,Humanities_No_Math,YELLOW
MAP0128,Computer & IT Pathways,B.Sc Data Science,PCM,GREEN
MAP0129,Computer & IT Pathways,B.Sc Data Science,PCB,YELLOW
MAP0130,Computer & IT Pathways,B.Sc Data Science,Commerce_Math,GREEN
MAP0131,Computer & IT Pathways,B.Sc Data Science,Commerce_No_Math,YELLOW
MAP0132,Computer & IT Pathways,B.Sc Data Science,Humanities_Math,GREEN
MAP0133,Computer & IT Pathways,B.Sc Data Science,Humanities_No_Math,YELLOW
MAP0134,Computer & IT Pathways,B.Sc AI,PCM,GREEN
MAP0135,Computer & IT Pathways,B.Sc AI,PCB,YELLOW
MAP0136,Computer & IT Pathways,B.Sc AI,Commerce_Math,GREEN
MAP0137,Computer & IT Pathways,B.Sc AI,Commerce_No_Math,YELLOW
MAP0138,Computer & IT Pathways,B.Sc AI,Humanities_Math,GREEN
MAP0139,Computer & IT Pathways,B.Sc AI,Humanities_No_Math,YELLOW
